2021-01-27 at 09:02:03 | INFO | Done
2021-01-27 at 09:02:04 | INFO | exit from DB
2021-01-27 at 09:02:04 | DEBUG | Fault reading
2021-01-27 at 09:02:04 | INFO | Data Base is ready to use
2021-01-27 at 09:02:05 | INFO | Done
2021-01-27 at 09:02:05 | INFO | exit from DB
2021-01-27 at 09:02:05 | DEBUG | Fault reading
2021-01-27 at 09:02:05 | INFO | Data Base is ready to use
2021-01-27 at 09:02:06 | INFO | Done
2021-01-27 at 09:02:06 | INFO | exit from DB
2021-01-27 at 09:02:07 | DEBUG | Fault reading
2021-01-27 at 09:02:07 | INFO | Disconnected for end of polling this device
2021-01-27 at 09:02:07 | INFO | Polling ON
2021-01-27 at 09:02:07 | INFO | Data Base is ready to use
2021-01-27 at 09:02:08 | INFO | Done
2021-01-27 at 09:02:08 | INFO | exit from DB
2021-01-27 at 09:02:08 | DEBUG | Fault reading
2021-01-27 at 09:02:09 | INFO | Data Base is ready to use
2021-01-27 at 09:02:09 | INFO | Done
2021-01-27 at 09:02:10 | INFO | exit from DB
2021-01-27 at 09:02:10 | DEBUG | Fault reading
2021-01-27 at 09:02:11 | INFO | Data Base is ready to use
2021-01-27 at 09:02:11 | INFO | Done
2021-01-27 at 09:02:11 | INFO | exit from DB
2021-01-27 at 09:02:11 | DEBUG | Fault reading
2021-01-27 at 09:02:12 | INFO | Data Base is ready to use
2021-01-27 at 09:02:12 | INFO | Done
2021-01-27 at 09:02:12 | INFO | exit from DB
2021-01-27 at 09:02:13 | DEBUG | Fault reading
2021-01-27 at 09:02:13 | INFO | Data Base is ready to use
2021-01-27 at 09:02:14 | INFO | Done
2021-01-27 at 09:02:15 | INFO | exit from DB
2021-01-27 at 09:02:15 | DEBUG | Fault reading
2021-01-27 at 09:02:16 | INFO | Data Base is ready to use
2021-01-27 at 09:02:17 | INFO | Done
2021-01-27 at 09:02:18 | INFO | exit from DB
2021-01-27 at 09:02:18 | DEBUG | Fault reading
2021-01-27 at 09:02:19 | INFO | Disconnected for end of polling this device
2021-01-27 at 09:02:19 | INFO | Polling ON
2021-01-27 at 09:02:19 | INFO | Data Base is ready to use
2021-01-27 at 09:02:20 | INFO | Done
2021-01-27 at 09:02:20 | INFO | exit from DB
2021-01-27 at 09:02:21 | DEBUG | Fault reading
2021-01-27 at 09:02:21 | INFO | Data Base is ready to use
2021-01-27 at 09:02:22 | INFO | Done
2021-01-27 at 09:02:22 | INFO | exit from DB
2021-01-27 at 09:02:23 | DEBUG | Fault reading
2021-01-27 at 09:02:24 | INFO | Data Base is ready to use
2021-01-27 at 09:02:25 | INFO | Done
2021-01-27 at 09:02:26 | INFO | exit from DB
2021-01-27 at 09:02:26 | DEBUG | Fault reading
2021-01-27 at 09:02:27 | INFO | Data Base is ready to use
2021-01-27 at 09:02:28 | INFO | Done
2021-01-27 at 09:02:29 | INFO | exit from DB
2021-01-27 at 09:02:29 | DEBUG | Fault reading
2021-01-27 at 09:02:30 | INFO | Data Base is ready to use
2021-01-27 at 09:02:31 | INFO | Done
2021-01-27 at 09:02:31 | INFO | exit from DB
2021-01-27 at 09:02:32 | DEBUG | Fault reading
2021-01-27 at 09:02:32 | INFO | Data Base is ready to use
2021-01-27 at 09:02:32 | INFO | Done
2021-01-27 at 09:02:32 | INFO | exit from DB
2021-01-27 at 09:02:33 | DEBUG | Fault reading
2021-01-27 at 09:02:33 | INFO | Disconnected for end of polling this device
2021-01-27 at 09:02:33 | INFO | Polling ON
2021-01-27 at 09:02:34 | INFO | Data Base is ready to use
2021-01-27 at 09:02:35 | INFO | Done
2021-01-27 at 09:02:36 | INFO | exit from DB
2021-01-27 at 09:02:36 | DEBUG | Fault reading
2021-01-27 at 09:02:37 | INFO | Data Base is ready to use
2021-01-27 at 09:02:38 | INFO | Done
2021-01-27 at 09:02:39 | INFO | exit from DB
2021-01-27 at 09:02:39 | DEBUG | Fault reading
2021-01-27 at 09:02:40 | INFO | Data Base is ready to use
2021-01-27 at 09:02:42 | INFO | Done
2021-01-27 at 09:02:43 | INFO | exit from DB
2021-01-27 at 09:02:44 | DEBUG | Fault reading
2021-01-27 at 09:02:45 | INFO | Data Base is ready to use
2021-01-27 at 09:02:46 | INFO | Done
2021-01-27 at 09:02:47 | INFO | exit from DB
2021-01-27 at 09:02:48 | DEBUG | Fault reading
2021-01-27 at 09:02:49 | INFO | Data Base is ready to use
2021-01-27 at 09:02:50 | INFO | Done
2021-01-27 at 09:02:51 | INFO | exit from DB
2021-01-27 at 09:02:51 | DEBUG | Fault reading
2021-01-27 at 09:02:52 | INFO | Data Base is ready to use
2021-01-27 at 09:02:53 | INFO | Done
2021-01-27 at 09:02:54 | INFO | exit from DB
2021-01-27 at 09:02:55 | DEBUG | Fault reading
2021-01-27 at 09:02:56 | INFO | Disconnected for end of polling this device
2021-01-27 at 09:02:56 | INFO | Polling ON
2021-01-27 at 09:02:56 | INFO | Data Base is ready to use
2021-01-27 at 09:02:58 | INFO | Done
2021-01-27 at 09:02:59 | INFO | exit from DB
2021-01-27 at 09:03:00 | DEBUG | Fault reading
2021-01-27 at 09:03:01 | INFO | Data Base is ready to use
2021-01-27 at 09:03:02 | INFO | Done
2021-01-27 at 09:03:03 | INFO | exit from DB
2021-01-27 at 09:03:04 | DEBUG | Fault reading
2021-01-27 at 09:03:05 | INFO | Data Base is ready to use
2021-01-27 at 09:03:06 | INFO | Done
2021-01-27 at 09:03:07 | INFO | exit from DB
2021-01-27 at 09:03:08 | DEBUG | Fault reading
2021-01-27 at 09:03:10 | INFO | Data Base is ready to use
2021-01-27 at 09:03:10 | INFO | Done
2021-01-27 at 09:03:11 | INFO | exit from DB
2021-01-27 at 09:03:12 | DEBUG | Fault reading
2021-01-27 at 09:03:13 | INFO | Data Base is ready to use
2021-01-27 at 09:03:14 | INFO | Done
2021-01-27 at 09:03:14 | INFO | exit from DB
2021-01-27 at 09:03:16 | DEBUG | Fault reading
2021-01-27 at 09:03:17 | INFO | Data Base is ready to use
2021-01-27 at 09:03:18 | INFO | Done
2021-01-27 at 09:03:19 | INFO | exit from DB
2021-01-27 at 09:03:19 | DEBUG | Fault reading
2021-01-27 at 09:03:20 | INFO | Disconnected for end of polling this device
2021-01-27 at 09:03:20 | INFO | Polling ON
2021-01-27 at 09:03:20 | INFO | Data Base is ready to use
