2021-01-26 at 14:09:55 | INFO | Sending PUBLISH (d0, q0, r0, m105), 'b'top_7'', ... (6 bytes)
2021-01-26 at 14:09:55 | INFO | mid: 105
2021-01-26 at 14:09:55 | INFO | Sending PUBLISH (d0, q0, r0, m106), 'b'top_8'', ... (6 bytes)
2021-01-26 at 14:09:55 | INFO | mid: 106
2021-01-26 at 14:09:55 | INFO | Sending PUBLISH (d0, q0, r0, m107), 'b'top_9'', ... (8 bytes)
2021-01-26 at 14:09:55 | INFO | mid: 107
2021-01-26 at 14:09:55 | INFO | Sending PUBLISH (d0, q0, r0, m108), 'b'top_10'', ... (8 bytes)
2021-01-26 at 14:09:55 | INFO | mid: 108
2021-01-26 at 14:09:55 | INFO | Sending PUBLISH (d0, q0, r0, m109), 'b'top_11'', ... (8 bytes)
2021-01-26 at 14:09:55 | INFO | mid: 109
2021-01-26 at 14:09:55 | INFO | Sending PUBLISH (d0, q0, r0, m110), 'b'top_12'', ... (8 bytes)
2021-01-26 at 14:09:55 | INFO | mid: 110
2021-01-26 at 14:09:55 | INFO | Sending PUBLISH (d0, q0, r0, m111), 'b'top_13'', ... (6 bytes)
2021-01-26 at 14:09:55 | INFO | mid: 111
2021-01-26 at 14:09:55 | INFO | Sending PUBLISH (d0, q0, r0, m112), 'b'top_14'', ... (8 bytes)
2021-01-26 at 14:09:55 | INFO | mid: 112
2021-01-26 at 14:10:00 | INFO | Data Base is ready to use
2021-01-26 at 14:10:01 | INFO | exit from DB
2021-01-26 at 14:10:01 | INFO | Sending PUBLISH (d0, q0, r0, m113), 'b'top_1'', ... (2 bytes)
2021-01-26 at 14:10:01 | INFO | mid: 113
2021-01-26 at 14:10:01 | INFO | Sending PUBLISH (d0, q0, r0, m114), 'b'top_2'', ... (2 bytes)
2021-01-26 at 14:10:01 | INFO | mid: 114
2021-01-26 at 14:10:01 | INFO | Sending PUBLISH (d0, q0, r0, m115), 'b'top_3'', ... (2 bytes)
2021-01-26 at 14:10:01 | INFO | mid: 115
2021-01-26 at 14:10:01 | INFO | Sending PUBLISH (d0, q0, r0, m116), 'b'top_4'', ... (2 bytes)
2021-01-26 at 14:10:01 | INFO | mid: 116
2021-01-26 at 14:10:01 | INFO | Sending PUBLISH (d0, q0, r0, m117), 'b'top_5'', ... (2 bytes)
2021-01-26 at 14:10:01 | INFO | mid: 117
2021-01-26 at 14:10:01 | INFO | Sending PUBLISH (d0, q0, r0, m118), 'b'top_6'', ... (2 bytes)
2021-01-26 at 14:10:01 | INFO | mid: 118
2021-01-26 at 14:10:01 | INFO | Sending PUBLISH (d0, q0, r0, m119), 'b'top_7'', ... (6 bytes)
2021-01-26 at 14:10:01 | INFO | mid: 119
2021-01-26 at 14:10:01 | INFO | Sending PUBLISH (d0, q0, r0, m120), 'b'top_8'', ... (8 bytes)
2021-01-26 at 14:10:01 | INFO | mid: 120
2021-01-26 at 14:10:01 | INFO | Sending PUBLISH (d0, q0, r0, m121), 'b'top_9'', ... (6 bytes)
2021-01-26 at 14:10:01 | INFO | mid: 121
2021-01-26 at 14:10:01 | INFO | Sending PUBLISH (d0, q0, r0, m122), 'b'top_10'', ... (6 bytes)
2021-01-26 at 14:10:01 | INFO | mid: 122
2021-01-26 at 14:10:01 | INFO | Sending PUBLISH (d0, q0, r0, m123), 'b'top_11'', ... (6 bytes)
2021-01-26 at 14:10:01 | INFO | mid: 123
2021-01-26 at 14:10:01 | INFO | Sending PUBLISH (d0, q0, r0, m124), 'b'top_12'', ... (6 bytes)
2021-01-26 at 14:10:01 | INFO | mid: 124
2021-01-26 at 14:10:01 | INFO | Sending PUBLISH (d0, q0, r0, m125), 'b'top_13'', ... (6 bytes)
2021-01-26 at 14:10:01 | INFO | mid: 125
2021-01-26 at 14:10:01 | INFO | Sending PUBLISH (d0, q0, r0, m126), 'b'top_14'', ... (6 bytes)
2021-01-26 at 14:10:01 | INFO | mid: 126
2021-01-26 at 14:10:06 | INFO | Data Base is ready to use
2021-01-26 at 14:10:06 | INFO | exit from DB
2021-01-26 at 14:10:06 | INFO | Sending PUBLISH (d0, q0, r0, m127), 'b'top_1'', ... (2 bytes)
2021-01-26 at 14:10:06 | INFO | mid: 127
2021-01-26 at 14:10:06 | INFO | Sending PUBLISH (d0, q0, r0, m128), 'b'top_2'', ... (2 bytes)
2021-01-26 at 14:10:06 | INFO | mid: 128
2021-01-26 at 14:10:07 | INFO | Sending PUBLISH (d0, q0, r0, m129), 'b'top_3'', ... (2 bytes)
2021-01-26 at 14:10:07 | INFO | mid: 129
2021-01-26 at 14:10:07 | INFO | Sending PUBLISH (d0, q0, r0, m130), 'b'top_4'', ... (2 bytes)
2021-01-26 at 14:10:07 | INFO | mid: 130
2021-01-26 at 14:10:07 | INFO | Sending PUBLISH (d0, q0, r0, m131), 'b'top_5'', ... (2 bytes)
2021-01-26 at 14:10:07 | INFO | mid: 131
2021-01-26 at 14:10:07 | INFO | Sending PUBLISH (d0, q0, r0, m132), 'b'top_6'', ... (2 bytes)
2021-01-26 at 14:10:07 | INFO | mid: 132
2021-01-26 at 14:10:07 | INFO | Sending PUBLISH (d0, q0, r0, m133), 'b'top_7'', ... (8 bytes)
2021-01-26 at 14:10:07 | INFO | mid: 133
2021-01-26 at 14:10:07 | INFO | Sending PUBLISH (d0, q0, r0, m134), 'b'top_8'', ... (8 bytes)
2021-01-26 at 14:10:07 | INFO | mid: 134
2021-01-26 at 14:10:07 | INFO | Sending PUBLISH (d0, q0, r0, m135), 'b'top_9'', ... (6 bytes)
2021-01-26 at 14:10:07 | INFO | mid: 135
2021-01-26 at 14:10:07 | INFO | Sending PUBLISH (d0, q0, r0, m136), 'b'top_10'', ... (6 bytes)
2021-01-26 at 14:10:07 | INFO | mid: 136
2021-01-26 at 14:10:07 | INFO | Sending PUBLISH (d0, q0, r0, m137), 'b'top_11'', ... (8 bytes)
2021-01-26 at 14:10:07 | INFO | mid: 137
2021-01-26 at 14:10:07 | INFO | Sending PUBLISH (d0, q0, r0, m138), 'b'top_12'', ... (8 bytes)
2021-01-26 at 14:10:07 | INFO | mid: 138
2021-01-26 at 14:10:07 | INFO | Sending PUBLISH (d0, q0, r0, m139), 'b'top_13'', ... (8 bytes)
2021-01-26 at 14:10:07 | INFO | mid: 139
2021-01-26 at 14:10:07 | INFO | Sending PUBLISH (d0, q0, r0, m140), 'b'top_14'', ... (8 bytes)
2021-01-26 at 14:10:07 | INFO | mid: 140
2021-01-26 at 14:10:12 | INFO | Data Base is ready to use
2021-01-26 at 14:10:12 | INFO | exit from DB
2021-01-26 at 14:10:12 | INFO | Sending PUBLISH (d0, q0, r0, m141), 'b'top_1'', ... (2 bytes)
2021-01-26 at 14:10:12 | INFO | mid: 141
2021-01-26 at 14:10:12 | INFO | Sending PUBLISH (d0, q0, r0, m142), 'b'top_2'', ... (2 bytes)
2021-01-26 at 14:10:12 | INFO | mid: 142
2021-01-26 at 14:10:12 | INFO | Sending PUBLISH (d0, q0, r0, m143), 'b'top_3'', ... (2 bytes)
2021-01-26 at 14:10:12 | INFO | mid: 143
2021-01-26 at 14:10:13 | INFO | Sending PUBLISH (d0, q0, r0, m144), 'b'top_4'', ... (2 bytes)
2021-01-26 at 14:10:13 | INFO | mid: 144
2021-01-26 at 14:10:13 | INFO | Sending PUBLISH (d0, q0, r0, m145), 'b'top_5'', ... (2 bytes)
2021-01-26 at 14:10:13 | INFO | mid: 145
2021-01-26 at 14:10:13 | INFO | Sending PUBLISH (d0, q0, r0, m146), 'b'top_6'', ... (2 bytes)
2021-01-26 at 14:10:13 | INFO | mid: 146
2021-01-26 at 14:10:13 | INFO | Sending PUBLISH (d0, q0, r0, m147), 'b'top_7'', ... (6 bytes)
2021-01-26 at 14:10:13 | INFO | mid: 147
2021-01-26 at 14:10:13 | INFO | Sending PUBLISH (d0, q0, r0, m148), 'b'top_8'', ... (8 bytes)
2021-01-26 at 14:10:13 | INFO | mid: 148
2021-01-26 at 14:10:13 | INFO | Sending PUBLISH (d0, q0, r0, m149), 'b'top_9'', ... (8 bytes)
2021-01-26 at 14:10:13 | INFO | mid: 149
2021-01-26 at 14:10:13 | INFO | Sending PUBLISH (d0, q0, r0, m150), 'b'top_10'', ... (8 bytes)
2021-01-26 at 14:10:13 | INFO | mid: 150
2021-01-26 at 14:10:13 | INFO | Sending PUBLISH (d0, q0, r0, m151), 'b'top_11'', ... (6 bytes)
2021-01-26 at 14:10:13 | INFO | mid: 151
